1997 XF11 , R ,  5778 ,   857 , 23 24 53.71 -2 11 56.94 , 0 0 0.01   0 0 0.11 , 18.219 , 23.0
1997 XF11 , U , 13596 ,   647 , 13 25 0.6 -13 45 9.18 , 0 0 0.01   0 0 0.16 , 19.019 , 1003.5989765575596
1997 XF11 , B , 13597 ,   647 , 13 25 0.88 -13 45 14.62 , 0 0 0.01   0 0 0.16 , 19.017 , 21.247425010840047
1997 XF11 ,OR , 16529 ,   855 , 10 37 40.8 1 28 29.28 , 0 0 0.01   0 0 0.12 , 18.878 , 20.373712505420023
2002 LY45 , J ,  6990 ,   735 , 18 39 10.57 -8 7 47.96 , 0 0 0.02   0 0 0.26 , 19.943 , 23.43265577402143
2002 LY45 , J ,  9340 ,   793 , 13 52 15.87 -3 14 33.97 , 0 0 0.01   0 0 0.12 , 21.553 , 23.5
2002 LY45 , U ,  9410 ,   864 , 13 38 55.47 -2 42 6.41 , 0 0 0.01   0 0 0.1 , 22.124 , 1004.1953781259591
2002 LY45 ,OR , 11113 ,   792 , 13 49 47.03 -3 10 24.78 , 0 0 0.01   0 0 0.14 , 20.764 , 22.0
2002 LY45 , U , 17029 ,   856 , 22 50 22.66 0 15 54.18 , 0 0 0.03   0 0 0.38 , 18.824 , 1003.8190906313791
2002 LY45 ,VF , 17596 ,   795 , 14 37 14.07 -5 29 13.96 , 0 0 0.01   0 0 0.1 , 21.931 , 1003.87628749458
2010 MU112 ,VB ,  1420 ,   397 , 19 2 57.13 -34 26 34.33 , 0 0 0.1   0 0 1.56 , 23.912 , 1003.3788624837399
2010 MU112 ,VJ ,  8317 ,   A11 , 8 53 26.93 -42 52 20.89 , 0 0 0.08   0 0 1.26 , 22.392 , 1002.25
2010 MU112 ,IF ,  8327 , PUP A , 8 36 29.25 -45 54 57.38 , 0 0 0.09   0 0 1.36 , 22.501 , 1004.1953781259591
2010 MU112 ,VJ ,  8345 ,    A6 , 7 58 58.93 -49 58 56.35 , 0 0 0.1   0 0 1.49 , 22.75 , 1002.25
2010 MU112 , J ,  8381 ,   CAR , 6 41 46.12 -49 55 53.08 , 0 0 0.1   0 0 1.5 , 23.432 , 23.5
2012 SW20 , J , 13428 ,   FMO , 0 18 3.35 4 6 54.54 , 0 0 0.12   0 0 1.83 , 21.646 , 22.747425010840047
2012 SW20 , J , 17477 ,   855 , 22 44 20.18 -2 15 45.11 , 0 0 0.06   0 0 0.94 , 21.724 , 23.5
2011 BT15 , J ,  2373 ,   592 , 18 53 35.15 -21 17 12.48 , 0 0 1.85   0 0 27.78 , 22.676 , 23.343826579239625
2011 BT15 , J ,  2377 ,   592 , 18 51 10.18 -21 21 52.6 , 0 0 1.91   0 0 28.59 , 22.574 , 23.2798859261804
2011 BT15 , V ,  5223 ,   521 , 18 6 9.11 -24 4 2.1 , 0 0 1.36   0 0 20.46 , 21.656 , 22.0
2011 BT15 , R ,  5283 ,   520 , 17 37 59.9 -24 51 43.13 , 0 0 0.97   0 0 14.48 , 22.134 , 22.90102344244047
2011 BT15 , R ,  7932 ,    N1 , 19 17 23.6 -23 32 28.68 , 0 0 0.13   0 0 1.94 , 20.807 , 22.027310937020445
2011 BT15 ,WI , 13625 ,   861 , 0 30 7.38 2 21 38.88 , 0 0 0.01   0 0 0.22 , 23.686 , 1004.1953781259591
2011 BT15 , J , 14404 ,    N8 , 1 47 43.34 9 0 38.66 , 0 0 0.03   0 0 0.39 , 23.251 , 23.5
2011 BT15 ,VF , 18042 ,   721 , 14 9 49.22 -10 42 19.12 , 0 0 0.01   0 0 0.22 , 23.721 , 1003.87628749458
2011 BT15 ,VF , 18054 ,   722 , 14 9 11.5 -10 43 42.35 , 0 0 0.01   0 0 0.22 , 23.784 , 1002.9362540775322
2001 VK5 , V , 11574 ,   831 , 14 39 52.52 0 23 26.56 , 0 0 0.01   0 0 0.19 , 21.341 , 21.623712505420023
2020 JV , J ,  2335 ,   524 , 19 6 19.52 -25 48 3.2 , 0 15 18.91   3 49 43.64 , 22.667 , 23.2798859261804
2020 HJ4 , J , 10000 ,   861 , 0 32 59.88 2 53 10.0 , 0 0 0.22   0 0 3.32 , 22.346 , 22.90359843160042
1999 JU3 , J , 10328 ,    N1 , 0 17 5.45 14 31 24.92 , 0 0 0.05   0 0 0.78 , 20.859 , 23.7201140738196
1999 JU3 , J , 11031 , I4296 , 13 29 11.43 -35 39 57.38 , 0 0 0.21   0 0 3.08 , 17.484 , 23.656173420760375
1999 JU3 , U , 16965 ,   859 , 23 56 19.98 2 23 58.34 , 0 0 0.01   0 0 0.13 , 22.106 , 1003.8190906313791
2011 SR5 ,OR , 10963 ,   863 , 1 29 24.46 1 46 20.42 , 0 0 0.04   0 0 0.59 , 21.238 , 22.156173420760375
2011 SR5 ,IF , 14175 ,   854 , 22 24 47.71 -2 33 24.95 , 0 0 0.01   0 0 0.19 , 23.962 , 1004.1953781259591
2004 GU9 , R ,  6435 ,   884 , 8 27 35.52 -1 40 20.64 , 0 0 0.16   0 0 2.41 , 21.871 , 22.96897052034371
2007 RU9 , J ,  6811 , AS243 , 23 49 26.41 -2 19 36.44 , 0 0 0.02   0 0 0.26 , 23.041 , 23.5
2007 RU9 , J ,  6828 , AS213 , 0 3 24.66 0 59 8.81 , 0 0 0.02   0 0 0.29 , 22.921 , 23.5
2007 RU9 , J ,  6851 , AS214 , 0 17 50.94 0 24 17.28 , 0 0 0.02   0 0 0.31 , 22.805 , 23.45276429888825
2007 RU9 , J ,  9157 ,   795 , 14 37 47.7 -5 50 9.02 , 0 0 0.09   0 0 1.38 , 21.162 , 23.5
2007 RU9 , R ,  9158 ,   795 , 14 37 38.41 -5 49 4.73 , 0 0 0.09   0 0 1.39 , 21.162 , 23.0
1993 KH , J ,  5003 ,   SW3 , 9 49 52.88 26 36 37.62 , 0 0 0.01   0 0 0.08 , 21.876 , 22.90359843160042
1993 KH ,UJ ,  5295 ,   790 , 12 51 28.75 -4 6 15.95 , 0 0 0.0   0 0 0.05 , 22.024 , 1002.62628749458
1993 KH ,OR , 15560 ,   650 , 14 7 53.16 -16 59 3.41 , 0 0 0.02   0 0 0.34 , 17.307 , 21.95276429888825
1993 KH ,JR , 15570 , M2071 , 13 59 11.43 -17 47 30.26 , 0 0 0.02   0 0 0.34 , 17.355 , 1003.0025749891599
1998 OX4 ,O3 ,  6377 ,   N26 , 18 8 52.95 -18 41 5.1 , 0 0 0.15   0 0 2.31 , 22.069 , 1004.2152178920163
1998 OX4 , R ,  7932 ,    N1 , 19 8 7.56 -23 15 28.04 , 0 0 0.21   0 0 3.11 , 21.749 , 22.027310937020445
1998 OX4 , Z ,  8080 ,   E25 , 18 5 55.32 -20 59 47.94 , 0 0 0.12   0 0 1.84 , 22.254 , 1004.3515515467195
1998 OX4 ,HA , 15147 ,   M17 , 18 16 32.7 -18 15 17.53 , 0 0 0.01   0 0 0.15 , 21.613 , 1003.7618937681783
1998 OX4 ,UR , 15320 , GRB 2 , 12 10 48.87 -9 18 19.94 , 0 0 0.03   0 0 0.41 , 20.584 , 1002.62628749458
1998 OX4 ,UR , 15321 , GRB 2 , 12 10 34.52 -9 17 59.93 , 0 0 0.03   0 0 0.42 , 20.583 , 1002.62628749458
1998 OX4 , I , 15329 ,   786 , 11 36 37.49 -7 46 9.19 , 0 0 0.03   0 0 0.48 , 20.502 , 20.656173420760375
1998 OX4 , U , 16600 ,   855 , 10 34 21.05 0 29 55.43 , 0 0 0.02   0 0 0.27 , 22.617 , 1003.8190906313791
1998 OX4 ,VF , 17293 , 95-O1 , 17 34 33.7 -7 27 28.26 , 0 0 0.03   0 0 0.39 , 21.384 , 1002.4701140738196
2020 PS4 , U , 11076 ,   927 , 10 39 30.15 4 36 45.65 , 6 22 8.91   95 32 13.58 , 21.954 , 1004.1953781259591
2002 CU11 , V ,  1884 ,   LMC , 5 41 14.45 -66 32 16.08 , 0 0 0.01   0 0 0.08 , 20.979 , 22.0
2002 CU11 , J ,  1889 ,   LMC , 5 33 22.93 -67 27 10.44 , 0 0 0.01   0 0 0.08 , 21.03 , 23.583683487038268
2002 CU11 ,HA ,  1911 ,   LMC , 5 1 59.4 -68 59 29.76 , 0 0 0.01   0 0 0.08 , 21.166 , 1004.4726890629795
2002 CU11 , J ,  1942 ,    55 , 4 22 20.55 -68 26 29.83 , 0 0 0.01   0 0 0.08 , 21.285 , 23.5
2002 CU11 , B ,  7744 ,   864 , 1 31 46.27 0 10 19.27 , 0 0 0.01   0 0 0.19 , 21.31 , 22.0
2002 CU11 , V ,  7745 ,   864 , 1 31 57.84 0 10 41.52 , 0 0 0.01   0 0 0.19 , 21.311 , 22.0
2002 CU11 , J ,  9129 ,   621 , 4 27 41.43 -15 35 31.92 , 0 0 0.01   0 0 0.13 , 22.118 , 22.406173420760375
2002 CU11 ,VJ ,  9130 ,   621 , 4 27 43.86 -15 35 4.27 , 0 0 0.01   0 0 0.13 , 22.118 , 1003.5989765575596
2002 CU11 ,VR ,  9131 ,   621 , 4 29 57.01 -15 10 8.26 , 0 0 0.01   0 0 0.13 , 22.121 , 1002.3489765575596
2002 CU11 , B , 10630 ,    N1 , 14 57 3.36 -1 53 46.28 , 0 0 0.02   0 0 0.28 , 21.048 , 21.40359843160042
2002 CU11 , I , 14183 ,   626 , 6 10 45.18 -15 47 56.72 , 0 0 0.01   0 0 0.15 , 20.454 , 20.5
2002 CU11 ,OR , 14194 ,   626 , 6 11 43.99 -12 51 47.84 , 0 0 0.01   0 0 0.15 , 20.478 , 22.043452632824014
2002 CU11 ,OR , 16450 ,   123 , 7 39 22.11 -57 5 9.17 , 0 0 0.01   0 0 0.15 , 21.395 , 22.083683487038268
2002 CU11 ,OR , 16456 ,   163 , 7 32 38.61 -57 39 27.47 , 0 0 0.01   0 0 0.15 , 21.366 , 22.043452632824014
2002 CU11 ,HA , 19058 , H1281 , 17 30 58.0 0 18 6.62 , 0 0 0.01   0 0 0.14 , 20.58 , 1004.1953781259591
2002 CU11 ,OR , 19059 , H1281 , 17 31 39.61 0 17 13.38 , 0 0 0.01   0 0 0.14 , 20.579 , 21.247425010840047
2014 DM22 , J ,  5473 ,   627 , 6 47 35.29 -15 7 41.59 , 0 0 0.03   0 0 0.43 , 23.343 , 23.45276429888825
2014 DM22 , R ,  9850 ,   844 , 7 6 57.38 -2 55 24.78 , 0 0 0.04   0 0 0.56 , 21.361 , 22.027310937020445
2014 DM22 , U , 13896 ,   113 , 1 16 23.78 -62 6 25.96 , 0 0 0.03   0 0 0.49 , 22.501 , 1003.5989765575596
